module,acc_path,bit,value,effective_fault,error_detected,output_correct
PE,,0,0,0,0,1
PE,/tb_PE/dut/accumulator,0,0,1,0,0
PE,/tb_PE/dut/accumulator,0,1,0,0,1
PE,/tb_PE/dut/accumulator,1,0,1,0,0
PE,/tb_PE/dut/accumulator,1,1,0,0,1
PE,/tb_PE/dut/accumulator,2,0,1,0,0
PE,/tb_PE/dut/accumulator,2,1,0,0,1
PE,/tb_PE/dut/accumulator,3,0,1,0,0
PE,/tb_PE/dut/accumulator,3,1,0,0,1
PE,/tb_PE/dut/accumulator,4,0,0,0,1
PE,/tb_PE/dut/accumulator,4,1,1,0,0
PE,/tb_PE/dut/accumulator,5,0,0,0,1
PE,/tb_PE/dut/accumulator,5,1,1,0,0
PE,/tb_PE/dut/accumulator,6,0,0,0,1
PE,/tb_PE/dut/accumulator,6,1,1,0,0
PE,/tb_PE/dut/accumulator,7,0,0,0,1
PE,/tb_PE/dut/accumulator,7,1,1,0,0
PE,/tb_PE/dut/accumulator,8,0,0,0,1
PE,/tb_PE/dut/accumulator,8,1,1,0,0
PE,/tb_PE/dut/accumulator,9,0,0,0,1
PE,/tb_PE/dut/accumulator,9,1,1,0,0
PE,/tb_PE/dut/accumulator,10,0,0,0,1
PE,/tb_PE/dut/accumulator,10,1,1,0,0
PE,/tb_PE/dut/accumulator,11,0,0,0,1
PE,/tb_PE/dut/accumulator,11,1,1,0,0
PE,/tb_PE/dut/accumulator,12,0,0,0,1
PE,/tb_PE/dut/accumulator,12,1,1,0,0
PE,/tb_PE/dut/accumulator,13,0,0,0,1
PE,/tb_PE/dut/accumulator,13,1,1,0,0
PE,/tb_PE/dut/accumulator,14,0,0,0,1
PE,/tb_PE/dut/accumulator,14,1,1,0,0
PE,/tb_PE/dut/accumulator,15,0,0,0,1
PE,/tb_PE/dut/accumulator,15,1,1,0,0
PE,/tb_PE/dut/accumulator,16,0,0,0,1
PE,/tb_PE/dut/accumulator,16,1,1,0,0
PE,/tb_PE/dut/accumulator,17,0,0,0,1
PE,/tb_PE/dut/accumulator,17,1,1,0,0
PE,/tb_PE/dut/accumulator,18,0,0,0,1
PE,/tb_PE/dut/accumulator,18,1,1,0,0
PE,/tb_PE/dut/accumulator,19,0,0,0,1
PE,/tb_PE/dut/accumulator,19,1,1,0,0
PE,/tb_PE/dut/accumulator,20,0,0,0,1
PE,/tb_PE/dut/accumulator,20,1,1,0,0
PE,/tb_PE/dut/accumulator,21,0,0,0,1
PE,/tb_PE/dut/accumulator,21,1,1,0,0
PE,/tb_PE/dut/accumulator,22,0,0,0,1
PE,/tb_PE/dut/accumulator,22,1,1,0,0
PE,/tb_PE/dut/accumulator,23,0,0,0,1
PE,/tb_PE/dut/accumulator,23,1,1,0,0
PE,/tb_PE/dut/accumulator,24,0,0,0,1
PE,/tb_PE/dut/accumulator,24,1,1,0,0
PE,/tb_PE/dut/accumulator,25,0,0,0,1
PE,/tb_PE/dut/accumulator,25,1,1,0,0
PE,/tb_PE/dut/accumulator,26,0,0,0,1
PE,/tb_PE/dut/accumulator,26,1,1,0,0
PE,/tb_PE/dut/accumulator,27,0,0,0,1
PE,/tb_PE/dut/accumulator,27,1,1,0,0
PE,/tb_PE/dut/accumulator,28,0,0,0,1
PE,/tb_PE/dut/accumulator,28,1,1,0,0
PE,/tb_PE/dut/accumulator,29,0,0,0,1
PE,/tb_PE/dut/accumulator,29,1,1,0,0
PE,/tb_PE/dut/accumulator,30,0,0,0,1
PE,/tb_PE/dut/accumulator,30,1,1,0,0
PE,/tb_PE/dut/accumulator,31,0,0,0,1
PE,/tb_PE/dut/accumulator,31,1,1,0,0
